RawPath,Sample Name,source_name
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531167_181102_snm3C_E1_AD012_indexed_contacts.txt.gz,GSM3531167,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531168_181102_snm3C_E2_AD007_indexed_contacts.txt.gz,GSM3531168,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531169_181102_snm3C_E2_AD012_indexed_contacts.txt.gz,GSM3531169,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531170_181102_snm3C_E3_AD007_indexed_contacts.txt.gz,GSM3531170,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531171_181102_snm3C_E3_AD008_indexed_contacts.txt.gz,GSM3531171,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531172_181102_snm3C_E3_AD010_indexed_contacts.txt.gz,GSM3531172,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531173_181102_snm3C_E3_AD012_indexed_contacts.txt.gz,GSM3531173,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531174_181102_snm3C_F1_AD007_indexed_contacts.txt.gz,GSM3531174,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531175_181102_snm3C_F1_AD008_indexed_contacts.txt.gz,GSM3531175,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531176_181102_snm3C_F1_AD012_indexed_contacts.txt.gz,GSM3531176,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531177_181102_snm3C_F2_AD007_indexed_contacts.txt.gz,GSM3531177,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531178_181102_snm3C_F2_AD008_indexed_contacts.txt.gz,GSM3531178,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531179_181102_snm3C_F2_AD010_indexed_contacts.txt.gz,GSM3531179,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531180_181102_snm3C_F2_AD012_indexed_contacts.txt.gz,GSM3531180,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531181_181102_snm3C_F3_AD007_indexed_contacts.txt.gz,GSM3531181,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531182_181102_snm3C_G1_AD008_indexed_contacts.txt.gz,GSM3531182,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531183_181102_snm3C_G1_AD012_indexed_contacts.txt.gz,GSM3531183,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531184_181102_snm3C_G2_AD007_indexed_contacts.txt.gz,GSM3531184,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531185_181102_snm3C_G2_AD008_indexed_contacts.txt.gz,GSM3531185,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531186_181102_snm3C_G2_AD012_indexed_contacts.txt.gz,GSM3531186,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531187_181102_snm3C_G3_AD007_indexed_contacts.txt.gz,GSM3531187,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531188_181102_snm3C_G3_AD010_indexed_contacts.txt.gz,GSM3531188,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531189_181102_snm3C_G3_AD012_indexed_contacts.txt.gz,GSM3531189,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531190_181102_snm3C_H1_AD007_indexed_contacts.txt.gz,GSM3531190,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531191_181102_snm3C_H1_AD008_indexed_contacts.txt.gz,GSM3531191,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531192_181102_snm3C_H1_AD010_indexed_contacts.txt.gz,GSM3531192,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531193_181102_snm3C_H1_AD012_indexed_contacts.txt.gz,GSM3531193,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531194_181102_snm3C_H2_AD007_indexed_contacts.txt.gz,GSM3531194,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531195_181102_snm3C_H2_AD008_indexed_contacts.txt.gz,GSM3531195,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531196_181102_snm3C_H2_AD010_indexed_contacts.txt.gz,GSM3531196,Mouse Embryonic Stem Cell Line E14
/store/zlwang/Workspace/data/snm3C/pairs/GSM3531197_181102_snm3C_H2_AD012_indexed_contacts.txt.gz,GSM3531197,Mouse Embryonic Stem Cell Line E14
