RawPath,Sample Name,Cell_type
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589028_cell_190.contacts.pairs.txt.gz,GSM3589028,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589029_cell_191.contacts.pairs.txt.gz,GSM3589029,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589030_cell_192.contacts.pairs.txt.gz,GSM3589030,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589031_cell_193.contacts.pairs.txt.gz,GSM3589031,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589032_cell_194.contacts.pairs.txt.gz,GSM3589032,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589033_cell_195.contacts.pairs.txt.gz,GSM3589033,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589034_cell_196.contacts.pairs.txt.gz,GSM3589034,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589035_cell_197.contacts.pairs.txt.gz,GSM3589035,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589036_cell_198.contacts.pairs.txt.gz,GSM3589036,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589037_cell_199.contacts.pairs.txt.gz,GSM3589037,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589038_cell_200.contacts.pairs.txt.gz,GSM3589038,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589039_cell_201.contacts.pairs.txt.gz,GSM3589039,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589040_cell_202.contacts.pairs.txt.gz,GSM3589040,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589041_cell_203.contacts.pairs.txt.gz,GSM3589041,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589042_cell_204.contacts.pairs.txt.gz,GSM3589042,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589043_cell_205.contacts.pairs.txt.gz,GSM3589043,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589044_cell_206.contacts.pairs.txt.gz,GSM3589044,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589045_cell_207.contacts.pairs.txt.gz,GSM3589045,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589046_cell_208.contacts.pairs.txt.gz,GSM3589046,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589047_cell_209.contacts.pairs.txt.gz,GSM3589047,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589048_cell_210.contacts.pairs.txt.gz,GSM3589048,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589049_cell_211.contacts.pairs.txt.gz,GSM3589049,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589050_cell_212.contacts.pairs.txt.gz,GSM3589050,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589051_cell_213.contacts.pairs.txt.gz,GSM3589051,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589052_cell_214.contacts.pairs.txt.gz,GSM3589052,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589053_cell_215.contacts.pairs.txt.gz,GSM3589053,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589054_cell_216.contacts.pairs.txt.gz,GSM3589054,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589055_cell_217.contacts.pairs.txt.gz,GSM3589055,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589056_cell_218.contacts.pairs.txt.gz,GSM3589056,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589057_cell_219.contacts.pairs.txt.gz,GSM3589057,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589058_cell_220.contacts.pairs.txt.gz,GSM3589058,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589059_cell_221.contacts.pairs.txt.gz,GSM3589059,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589060_cell_222.contacts.pairs.txt.gz,GSM3589060,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589061_cell_223.contacts.pairs.txt.gz,GSM3589061,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589062_cell_224.contacts.pairs.txt.gz,GSM3589062,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589063_cell_225.contacts.pairs.txt.gz,GSM3589063,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589064_cell_226.contacts.pairs.txt.gz,GSM3589064,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589065_cell_227.contacts.pairs.txt.gz,GSM3589065,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589066_cell_228.contacts.pairs.txt.gz,GSM3589066,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589067_cell_229.contacts.pairs.txt.gz,GSM3589067,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589068_cell_230.contacts.pairs.txt.gz,GSM3589068,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589069_cell_231.contacts.pairs.txt.gz,GSM3589069,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589070_cell_232.contacts.pairs.txt.gz,GSM3589070,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589071_cell_233.contacts.pairs.txt.gz,GSM3589071,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589072_cell_234.contacts.pairs.txt.gz,GSM3589072,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589073_cell_235.contacts.pairs.txt.gz,GSM3589073,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589074_cell_236.contacts.pairs.txt.gz,GSM3589074,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589075_cell_237.contacts.pairs.txt.gz,GSM3589075,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589076_cell_238.contacts.pairs.txt.gz,GSM3589076,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589077_cell_239.contacts.pairs.txt.gz,GSM3589077,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589078_cell_240.contacts.pairs.txt.gz,GSM3589078,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589079_cell_241.contacts.pairs.txt.gz,GSM3589079,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589080_cell_242.contacts.pairs.txt.gz,GSM3589080,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589081_cell_243.contacts.pairs.txt.gz,GSM3589081,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589082_cell_244.contacts.pairs.txt.gz,GSM3589082,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589083_cell_245.contacts.pairs.txt.gz,GSM3589083,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589084_cell_246.contacts.pairs.txt.gz,GSM3589084,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589085_cell_247.contacts.pairs.txt.gz,GSM3589085,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589086_cell_248.contacts.pairs.txt.gz,GSM3589086,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589087_cell_249.contacts.pairs.txt.gz,GSM3589087,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589088_cell_250.contacts.pairs.txt.gz,GSM3589088,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589089_cell_251.contacts.pairs.txt.gz,GSM3589089,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589090_cell_252.contacts.pairs.txt.gz,GSM3589090,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589091_cell_253.contacts.pairs.txt.gz,GSM3589091,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589092_cell_254.contacts.pairs.txt.gz,GSM3589092,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589093_cell_255.contacts.pairs.txt.gz,GSM3589093,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589094_cell_256.contacts.pairs.txt.gz,GSM3589094,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589095_cell_257.contacts.pairs.txt.gz,GSM3589095,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589096_cell_258.contacts.pairs.txt.gz,GSM3589096,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589097_cell_259.contacts.pairs.txt.gz,GSM3589097,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589098_cell_260.contacts.pairs.txt.gz,GSM3589098,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589099_cell_261.contacts.pairs.txt.gz,GSM3589099,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589100_cell_262.contacts.pairs.txt.gz,GSM3589100,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589101_cell_263.contacts.pairs.txt.gz,GSM3589101,main olfactory epithelium
